iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-03-15,-76.4435,-45.9548,-76.406,-45.9305,-76.44089128276988,-45.95506434093596,3.932359872931214,0.2901579501863345,0.2613896447997349,0.027306371573967193,16.775633550942786,Low
a22a,2002-03-16,-76.406,-45.9305,-76.406,-45.9305,-76.39225206813454,-45.921409729533735,1.5470692641626482,1.5470692641626482,0.1028359302066186,0.14559259241651093,11.993859509057552,Low
a22a,2002-03-17,-76.406,-45.9305,-76.406,-45.9305,-76.39649397706187,-45.919053870654466,1.098565148407089,1.098565148407089,0.07302321334019983,0.10338447773480028,8.516771909804001,Low
a22a,2002-03-18,-76.406,-45.9305,-76.406,-45.9305,-76.39837798984139,-45.9191693085715,0.8978011688774775,0.8978011688774775,0.059678141425734084,0.08449085162466481,6.960322550530637,Low
a22a,2002-03-19,-76.406,-45.9305,-76.406,-45.9305,-76.39340450145494,-45.91133142838524,1.4875352562152997,1.4875352562152997,0.09887861864467799,0.139989927587738,11.5323142221902,Low
a22a,2002-03-20,-76.406,-45.9305,-76.406,-45.9305,-76.39977327904442,-45.921679340377665,0.7297656898313369,0.7297656898313369,0.04850858024595233,0.06867726035309402,5.6576052288809,Low
a22a,2002-03-21,-76.406,-45.9305,-76.406,-45.9305,-76.39405585858736,-45.911950394752836,1.4139154200007895,1.4139154200007895,0.09398500171739986,0.133061664544809,10.961566684836352,Low
a22a,2002-03-22,-76.406,-45.9305,-76.406,-45.9305,-76.39906864791014,-45.92053124241298,0.8135967871377882,0.8135967871377882,0.054080954457921764,0.07656649134274403,6.307516921185067,Low
a22a,2002-03-23,-76.406,-45.9305,-76.406,-45.9305,-76.40051274835274,-45.92312987884873,0.6398482869497286,0.6398482869497286,0.042531640504926395,0.06021525539174609,4.960508645965427,Low
a22a,2002-03-24,-76.406,-45.9305,-76.406,-45.9305,-76.40272709039262,-45.928812795985664,0.36659324922117054,0.36659324922117054,0.024367983169473934,0.03449959400841086,2.84206275050487,Low
a22a,2002-03-25,-76.406,-45.9305,-76.406,-45.9305,-76.40303852164784,-45.92983093767353,0.3297654036968294,0.3297654036968294,0.021919983044507894,0.031033775362013186,2.556549997151001,Low
a22a,2002-03-26,-76.406,-45.9305,-76.406,-45.9305,-76.40261665902086,-45.92912446549212,0.3779245252208492,0.3779245252208492,0.025121189464012778,0.035565965040656226,2.929909969467016,Low
a22a,2002-03-27,-76.406,-45.9305,-76.3364,-45.9688,-76.40132677717585,-45.92796921935468,7.298386678964606,0.5238326809916569,0.4851343120342755,0.04929718389780407,31.07994607796869,Moderate
a22a,2002-03-28,-76.3364,-45.9688,-76.3364,-45.9688,-76.31128903008809,-45.982133277300676,2.8141295501127583,2.8141295501127583,0.18705925889130312,0.26483391926125893,21.816912303928543,Low
a22a,2002-03-29,-76.3364,-45.9688,-76.3364,-45.9688,-76.32071926699263,-45.99245393506993,1.8511243174107386,1.8511243174107386,0.1230469090936654,0.17420680153124626,14.351086606869776,Low
a22a,2002-03-30,-76.3364,-45.9688,-76.3364,-45.9688,-76.33506917950744,-45.97121475406544,0.16100195625773522,0.16100195625773522,0.010702032753401565,0.015151675971263412,1.2481890040546304,Low
a22a,2002-03-31,-76.3364,-45.9688,-76.3428,-46.2443,-76.32778813738462,-45.95606458003991,7.753365969906765,1.014376140371095,0.5153774431549166,0.09546156425130532,34.741109159347204,Moderate
a22a,2002-04-01,-76.3428,-46.2443,-76.3428,-46.2443,-76.3421750781746,-46.27846589761904,0.8997158711649659,0.8997158711649659,0.05980541445439785,0.08467104166282198,6.97516653377675,Low
a22a,2002-04-02,-76.3428,-46.2443,-76.3428,-46.2443,-76.34233656550275,-46.282647258593954,1.008122502905789,1.008122502905789,0.06701135996302884,0.09487304290213373,7.815603313867081,Low
a22a,2002-04-03,-76.3428,-46.2443,-76.3428,-46.2443,-76.34045490653695,-46.24583387123894,0.26385432861033176,0.26385432861033176,0.017538778612069716,0.024830973384690973,2.045565652111822,Low
a22a,2002-04-04,-76.3428,-46.2443,-76.3428,-46.2443,-76.33980985113388,-46.24319807843952,0.33374591791147984,0.33374591791147984,0.022184573578006603,0.03140837616178759,2.5874094611519003,Low
a22a,2002-04-05,-76.3428,-46.2443,-76.3105,-46.7727,-76.34114796227675,-46.24593959024597,14.259842414570565,0.1886750228840003,0.9478723372452629,0.01775595077883866,57.58257826586931,High
a22a,2002-04-06,-76.3105,-46.7727,-76.3105,-46.7727,-76.30197451203705,-46.819918756481485,1.563213521215147,1.563213521215147,0.10390906230868197,0.14711190657481013,12.119020001513322,Low
a22a,2002-04-07,-76.3105,-46.7727,-76.3105,-46.7727,-76.31124730146801,-46.8378023243221,1.715161986451766,1.715161986451766,0.11400929642750353,0.16141157077212276,13.297020616535121,Low
